year,spp,biomass.g_perhec,bodymass_g,met.type,org.type,losses,efficiencies
2017,lake.trout,11352.986448212643,1108.3150415783273,Ectothermic.vertebrate,animal,2.3803539669161107,0.906
2017,walleye,6633.821228494565,242.85560966081096,Ectothermic.vertebrate,animal,3.6969443943240274,0.906
2017,bythotrephes,113.50120230559114,2.1173622293739605e-5,Invertebrate,animal,412.20502524019435,0.906
2017,chaoborus.larvae,54.15459541845556,1.1693931206749202e-4,Invertebrate,animal,251.12232514094998,0.906
2017,leptodora,3.198283823449796,4.2440071967221286e-5,Invertebrate,animal,336.9293208055161,0.906
2017,mysis,384.2849247571245,0.00102426815064002,Invertebrate,animal,133.83629791618415,0.906
2017,cladocera,6045.576761616001,3.521207532583333e-6,Invertebrate,animal,693.5109273289331,0.906
2017,copepoda,30366.007627158,2.9635249043571428e-6,Invertebrate,animal,729.0702723069575,0.906
2017,rotifera,1726.5991009575002,4.78967121875e-8,Invertebrate,animal,2411.5997216711376,0.906
2018,cisco,23994.36604813546,17.16959291628256,Ectothermic.vertebrate,animal,7.971012301450527,0.906
2018,lake.trout,0,0,Ectothermic.vertebrate,animal,0,0.906
2018,walleye,5388.428508615503,251.91130643538972,Ectothermic.vertebrate,animal,3.6579019279915044,0.906
2018,bythotrephes,99.24766565740154,1.858048594166462e-5,Invertebrate,animal,428.12178663186455,0.906
2018,chaoborus.larvae,14.235263729913427,7.5486603722099e-5,Invertebrate,animal,285.10944973732495,0.906
2018,leptodora,3.1434760535667,4.378100353156964e-5,Invertebrate,animal,333.9035392103795,0.906
2018,mysis,390.60661677737863,0.00101906239701898,Invertebrate,animal,134.03420837206284,0.906
2018,cladocera,26479.186902945003,4.773636002e-6,Invertebrate,animal,634.9325352969563,0.906
2018,copepoda,36215.076971051996,3.225208782714286e-6,Invertebrate,animal,711.3971272451745,0.906
2018,rotifera,2479.225728945,8.028852625e-8,Invertebrate,animal,2076.0813538424436,0.906
2019,cisco,19287.24973617617,24.86349130451448,Ectothermic.vertebrate,animal,7.159469882254262,0.906
2019,lake.trout,10134.94823355708,956.7686546817032,Ectothermic.vertebrate,animal,2.4840473312664804,0.906
2019,walleye,0,0,Ectothermic.vertebrate,animal,0,0.906
2019,bythotrephes,49.75548879043901,1.9014158268407885e-5,Invertebrate,animal,425.2668384959326,0.906
2019,chaoborus.larvae,1.8859286649254912,9.925940341713111e-5,Invertebrate,animal,263.34804417977386,0.906
2019,leptodora,17.91779322734722,3.1524320397176575e-5,Invertebrate,animal,367.2709821555338,0.906
2019,mysis,379.04963174317,0.00101725519763611,Invertebrate,animal,134.1032190186432,0.906
2019,cladocera,28831.257968632,4.932872768865079e-6,Invertebrate,animal,628.9192731156253,0.906
2019,copepoda,31457.636416864003,3.079691816375e-6,Invertebrate,animal,720.9859037870748,0.906
2019,rotifera,1248.5932963980001,4.112234515359477e-8,Invertebrate,animal,2520.6427374762106,0.906
2020,cisco,35519.78867712595,47.70609089798327,Ectothermic.vertebrate,animal,5.926625261279042,0.906
2020,lake.trout,0,0,Ectothermic.vertebrate,animal,0,0.906
2020,walleye,8569.963056160304,337.63217398396864,Ectothermic.vertebrate,animal,3.36004558642737,0.906
2020,bythotrephes,0.04774519814679208,1.8797322105036253e-5,Invertebrate,animal,426.68369141484624,0.906
2020,chaoborus.larvae,11.533969197678116,1.053522944618023e-4,Invertebrate,animal,258.8374539935826,0.906
2020,leptodora,33.87125185990603,4.694560202343178e-5,Invertebrate,animal,327.2136061794779,0.906
2020,mysis,652.6244849396933,0.00102517198388264,Invertebrate,animal,133.80206850190226,0.906
